Tamaño Ejemplar    Tiempo Real     Tiempos Estimados
2990                      12.3859                      13.0949
3000                      12.8772                      13.0982
3010                      18.9754                      13.1016
3020                      13.7951                      13.105
3030                      12.759                      13.1084
3040                      12.5518                      13.1117
3050                      12.5104                      13.1151
3060                      12.5021                      13.1185
3070                      12.5004                      13.1218
3080                      12.7001                      13.1252
3090                      12.94                      13.1285
3100                      12.588                      13.1318
3110                      12.9176                      13.1352
3120                      12.5835                      13.1385
3130                      12.9167                      13.1418
3140                      12.5833                      13.1452
3150                      15.1167                      13.1485
3160                      13.4233                      13.1518
3170                      13.0847                      13.1551
3180                      13.0169                      13.1584
3190                      12.6034                      13.1617
3200                      12.5207                      13.165
3210                      12.5041                      13.1683
3220                      12.9008                      13.1716
3230                      12.7802                      13.1748
3240                      12.556                      13.1781
3250                      12.7112                      13.1814
3260                      12.5422                      13.1847
3270                      12.5084                      13.1879
3280                      14.3017                      13.1912
3290                      13.0603                      13.1944
3300                      12.8121                      13.1977
3310                      30.9624                      13.2009
3320                      17.1925                      13.2042
3330                      19.0385                      13.2074
3340                      15.0077                      13.2106
3350                      13.2015                      13.2139
3360                      12.6403                      13.2171
3370                      11.9281                      13.2203
3380                      11.9856                      13.2235
3390                      12.5971                      13.2267
3400                      12.3194                      13.2299
3410                      12.8639                      13.2331
3420                      12.3728                      13.2363
3430                      12.0746                      13.2395
3440                      11.4149                      13.2427
3450                      12.083                      13.2459
3460                      12.2166                      13.2491
3470                      12.4433                      13.2523
3480                      12.2887                      13.2554
3490                      11.8577                      13.2586
3500                      12.3715                      13.2617
3510                      15.0743                      13.2649
3520                      17.0149                      13.2681
3530                      15.003                      13.2712
3540                      13.0006                      13.2743
3550                      12.8001                      13.2775
3560                      12.56                      13.2806
3570                      12.712                      13.2837
3580                      12.5424                      13.2869
3590                      12.7085                      13.29
3600                      13.5417                      13.2931
3610                      13.5083                      13.2962
3620                      13.9017                      13.2993
3630                      13.7803                      13.3024
3640                      12.9561                      13.3055
3650                      12.9912                      13.3086
3660                      13.5982                      13.3117
3670                      14.1196                      13.3148
3680                      13.0239                      13.3179
3690                      12.8048                      13.3209
3700                      12.561                      13.324
3710                      12.7122                      13.3271
3720                      12.5424                      13.3301
3730                      31.3085                      13.3332
3740                      16.0617                      13.3362
3750                      13.2123                      13.3393
3760                      12.6425                      13.3423
3770                      12.7285                      13.3454
3780                      12.7457                      13.3484
3790                      12.7491                      13.3514
3800                      13.1498                      13.3545
3810                      12.83                      13.3575
